problem,solver,cost,gradient_norm_l2,damping,iters,cumulative_inner_solve_time,eta,cameras,points,cumulative_inner_solve_flops,loss,cumulative_solve_time,cumulative_solve_flops,nodes
0,gamg,25.3344,10.1531,0.0001,0,0,0.01,98925,273524,0,huber,0,0,36
1,gamg,0.140931,0.0621175,3.33333e-05,19,37.1057,0.01,98925,273524,4.62447e+11,huber,141.343,1.69199e+12,36
2,gamg,0.0321607,0.0710115,1.11111e-05,53,86.7922,0.01,98925,273524,1.31949e+12,huber,223.454,3.77858e+12,36
3,gamg,0.0087053,0.0146922,3.7037e-06,89,149.954,0.01,98925,273524,2.59433e+12,huber,319.043,6.28297e+12,36
4,gamg,0.00283716,0.0256595,1.23457e-06,157,238.886,0.01,98925,273524,4.65835e+12,huber,440.405,9.57654e+12,36
5,gamg,0.00087962,0.0104716,4.11523e-07,264,369.07,0.01,98925,273524,7.96418e+12,huber,603.022,1.41119e+13,36
6,gamg,0.000271626,0.00862046,0.000196589,386,543.385,0.01,98925,273524,1.26859e+13,huber,809.777,2.00632e+13,36
7,gamg,0.000253432,1.65104e-05,6.55298e-05,27,583.397,0.01,98925,273524,1.32412e+13,huber,882.208,2.1848e+13,36
8,gamg,0.000251336,1.24798e-05,2.18433e-05,43,629.31,0.01,98925,273524,1.39822e+13,huber,960.561,2.38185e+13,36
9,gamg,0.000245392,1.45774e-05,7.28109e-06,70,685.253,0.01,98925,273524,1.50365e+13,huber,1048.92,2.61024e+13,36
10,gamg,0.000229699,2.74707e-05,2.42703e-06,113,757.327,0.01,98925,273524,1.65899e+13,huber,1153.41,2.88853e+13,36
