problem,solver,cost,gradient_norm_l2,damping,iters,cumulative_inner_solve_time,eta,cameras,points,cumulative_inner_solve_flops,loss,cumulative_solve_time,cumulative_solve_flops,nodes
0,pbjacobi,25.3343,5909.16,0.0001,0,0,0.01,98925,273524,0,huber,0,0,32
1,pbjacobi,0.159074,36.6141,3.33333e-05,89,6.66282,0.01,98925,273524,2.06491e+11,huber,125.247,1.44063e+12,32
2,pbjacobi,0.0368198,21.3225,1.11111e-05,288,27.8875,0.01,98925,273524,8.74644e+11,huber,184.722,3.34292e+12,32
3,pbjacobi,0.00971559,5.68376,3.7037e-06,539,67.516,0.01,98925,273524,2.1251e+12,huber,262.622,5.8275e+12,32
4,pbjacobi,0.00309513,11.4034,1.23457e-06,1026,142.844,0.01,98925,273524,4.50534e+12,huber,376.195,9.44189e+12,32
5,pbjacobi,0.000955107,3.66782,4.11523e-07,1592,259.744,0.01,98925,273524,8.19866e+12,huber,531.31,1.43693e+13,32
6,pbjacobi,0.000291296,2.57415,1.37174e-07,2426,437.879,0.01,98925,273524,1.38268e+13,huber,747.686,2.12316e+13,32
7,pbjacobi,8.76047e-05,2.02104,4.57247e-08,3182,671.442,0.01,98925,273524,2.12088e+13,huber,1019.46,2.98477e+13,32
8,pbjacobi,3.08024e-05,1.85367,1.52416e-08,3445,924.289,0.01,98925,273524,2.92009e+13,huber,1310.53,3.9074e+13,32
9,pbjacobi,1.91422e-05,1.95882,1.46665e-08,6964,1435.23,0.01,98925,273524,4.53568e+13,huber,1859.74,5.6464e+13,32
10,pbjacobi,6.96762e-06,0.627548,4.88884e-09,6938,1944.24,0.01,98925,273524,6.14523e+13,huber,2406.98,7.37937e+13,32
