problem,solver,cost,gradient_norm_l2,damping,iters,cumulative_inner_solve_time,eta,cameras,points,cumulative_inner_solve_flops,loss,cumulative_solve_time,cumulative_solve_flops,nodes
0,pbjacobi,0.00429328,32.7385,0.0001,0,0,0.01,26389,29040,0,huber,0,0,8
1,pbjacobi,1.07936e-05,0.125046,3.33333e-05,61,0.311441,0.01,26389,29040,3.20545e+09,huber,1.60655,6.87614e+09,8
2,pbjacobi,2.46467e-06,0.0350308,4.1868e-05,297,1.72266,0.01,26389,29040,1.8793e+10,huber,3.34367,2.61344e+10,8
3,pbjacobi,1.48109e-06,0.0104661,6.09991e-05,296,3.12834,0.01,26389,29040,3.43281e+10,huber,5.0744,4.53402e+10,8
4,pbjacobi,1.16453e-06,0.00340611,8.87494e-05,253,4.33407,0.01,26389,29040,4.76071e+10,huber,6.60522,6.22899e+10,8
5,pbjacobi,1.01722e-06,0.00138506,0.00012745,210,5.33931,0.01,26389,29040,5.86301e+10,huber,7.93562,7.69836e+10,8
6,pbjacobi,9.35971e-07,0.000800234,0.000181826,179,6.20205,0.01,26389,29040,6.80266e+10,huber,9.12318,9.00508e+10,8
7,pbjacobi,8.86926e-07,0.000641671,0.000256198,148,6.92176,0.01,26389,29040,7.57966e+10,huber,10.1681,1.01492e+11,8
8,pbjacobi,8.55407e-07,0.000617669,0.000355784,127,7.54403,0.01,26389,29040,8.24649e+10,huber,11.1183,1.1183e+11,8
9,pbjacobi,8.3421e-07,0.000572181,0.000493418,109,8.08233,0.01,26389,29040,8.81887e+10,huber,11.9813,1.21225e+11,8
10,pbjacobi,8.19645e-07,0.00055917,0.000680235,91,8.53731,0.01,26389,29040,9.29682e+10,huber,12.7614,1.29675e+11,8
11,pbjacobi,8.09431e-07,0.000542777,0.000927017,79,8.93653,0.01,26389,29040,9.7118e+10,huber,13.4854,1.37496e+11,8
12,pbjacobi,8.0212e-07,0.000535226,0.00126015,66,9.2748,0.01,26389,29040,1.00586e+11,huber,14.1486,1.44634e+11,8
13,pbjacobi,7.96835e-07,0.000541497,0.00171323,57,9.57148,0.01,26389,29040,1.03581e+11,huber,14.7698,1.513e+11,8
14,pbjacobi,7.92998e-07,0.00053661,0.00232407,49,9.8308,0.01,26389,29040,1.06157e+11,huber,15.3538,1.57547e+11,8
15,pbjacobi,7.90197e-07,0.000519291,0.00314749,42,10.0579,0.01,26389,29040,1.08366e+11,huber,15.9063,1.63426e+11,8
16,pbjacobi,7.88142e-07,0.000522367,0.00426226,36,10.2567,0.01,26389,29040,1.1026e+11,huber,16.4301,1.68991e+11,8
17,pbjacobi,7.86633e-07,0.00051866,0.00574413,31,10.4324,0.01,26389,29040,1.11891e+11,huber,16.9308,1.74293e+11,8
18,pbjacobi,7.85517e-07,0.00052598,0.0077369,27,10.5907,0.01,26389,29040,1.13313e+11,huber,17.4141,1.79385e+11,8
19,pbjacobi,7.84691e-07,0.000515245,0.0104032,23,10.7291,0.01,26389,29040,1.14524e+11,huber,17.8778,1.84268e+11,8
20,pbjacobi,7.84078e-07,0.000511309,0.0139013,20,10.8536,0.01,26389,29040,1.15579e+11,huber,18.3275,1.88993e+11,8
21,pbjacobi,7.8362e-07,0.000514238,0.0186539,18,10.9688,0.01,26389,29040,1.16528e+11,huber,18.7675,1.93613e+11,8
22,pbjacobi,7.83279e-07,0.000514322,0.0249174,15,11.07,0.01,26389,29040,1.1732e+11,huber,19.194,1.98075e+11,8
23,pbjacobi,7.83024e-07,0.000504369,0.0332769,13,11.1621,0.01,26389,29040,1.18007e+11,huber,19.6113,2.02433e+11,8
24,pbjacobi,7.82833e-07,0.000505302,0.0446086,12,11.2493,0.01,26389,29040,1.18642e+11,huber,20.0236,2.06738e+11,8
25,pbjacobi,7.82691e-07,0.000503703,0.0596464,10,11.3274,0.01,26389,29040,1.19171e+11,huber,20.4264,2.10939e+11,8
26,pbjacobi,7.82584e-07,0.000502843,0.0796206,9,11.4007,0.01,26389,29040,1.19649e+11,huber,20.8245,2.15087e+11,8
27,pbjacobi,7.82504e-07,0.000506314,0.106568,8,11.4694,0.01,26389,29040,1.20073e+11,huber,21.2185,2.19182e+11,8
28,pbjacobi,7.82445e-07,0.00050072,0.14299,7,11.5335,0.01,26389,29040,1.20446e+11,huber,21.6077,2.23225e+11,8
29,pbjacobi,7.824e-07,0.000501722,0.191658,6,11.5928,0.01,26389,29040,1.20765e+11,huber,21.9915,2.27215e+11,8
30,pbjacobi,7.82367e-07,0.000503367,0.257037,5,11.6475,0.01,26389,29040,1.21033e+11,huber,22.3711,2.31153e+11,8
31,pbjacobi,7.82343e-07,0.000500294,0.344664,5,11.7025,0.01,26389,29040,1.213e+11,huber,22.7512,2.35091e+11,8
32,pbjacobi,7.82324e-07,0.000500502,0.46259,4,11.7525,0.01,26389,29040,1.21515e+11,huber,23.1268,2.38977e+11,8
33,pbjacobi,7.82311e-07,0.000499055,0.62038,4,11.8026,0.01,26389,29040,1.2173e+11,huber,23.5018,2.42863e+11,8
34,pbjacobi,7.823e-07,0.000495667,0.829469,3,11.8478,0.01,26389,29040,1.21892e+11,huber,23.8722,2.46696e+11,8
35,pbjacobi,7.82293e-07,0.000496367,1.11219,3,11.8933,0.01,26389,29040,1.22054e+11,huber,24.2425,2.50529e+11,8
36,pbjacobi,7.82287e-07,0.000497191,1.49245,3,11.9388,0.01,26389,29040,1.22217e+11,huber,24.613,2.54362e+11,8
37,pbjacobi,7.82283e-07,0.000497761,2.00328,3,11.9842,0.01,26389,29040,1.22379e+11,huber,24.9836,2.58195e+11,8
38,pbjacobi,7.8228e-07,0.00049808,2.68909,3,12.0295,0.01,26389,29040,1.22542e+11,huber,25.3536,2.62028e+11,8
39,pbjacobi,7.82277e-07,0.000498332,3.60764,2,12.0709,0.01,26389,29040,1.22651e+11,huber,25.7208,2.65809e+11,8
40,pbjacobi,7.82275e-07,0.000498345,4.84118,2,12.1115,0.01,26389,29040,1.22761e+11,huber,26.0865,2.69589e+11,8
41,pbjacobi,7.82274e-07,0.000498342,6.49726,2,12.1523,0.01,26389,29040,1.22871e+11,huber,26.452,2.7337e+11,8
42,pbjacobi,7.82273e-07,0.000498346,8.72028,2,12.193,0.01,26389,29040,1.22981e+11,huber,26.818,2.7715e+11,8
43,pbjacobi,7.82272e-07,0.000498352,11.7041,2,12.2337,0.01,26389,29040,1.23091e+11,huber,27.1834,2.80931e+11,8
44,pbjacobi,7.82272e-07,0.000498359,15.7088,2,12.2743,0.01,26389,29040,1.23201e+11,huber,27.5494,2.84712e+11,8
45,pbjacobi,7.82271e-07,0.000498363,21.0836,2,12.3151,0.01,26389,29040,1.23311e+11,huber,27.915,2.88492e+11,8
46,pbjacobi,7.82271e-07,0.000498367,28.297,2,12.3562,0.01,26389,29040,1.23421e+11,huber,28.2817,2.92273e+11,8
47,pbjacobi,7.82271e-07,0.00049837,37.9788,2,12.3968,0.01,26389,29040,1.23531e+11,huber,28.6475,2.96054e+11,8
48,pbjacobi,7.82271e-07,0.000498373,50.9712,2,12.4375,0.01,26389,29040,1.23641e+11,huber,29.0128,2.99834e+11,8
49,pbjacobi,7.82271e-07,0.000498374,68.4107,2,12.4785,0.01,26389,29040,1.23751e+11,huber,29.3786,3.03615e+11,8
50,pbjacobi,7.82271e-07,0.000498375,91.8174,2,12.5192,0.01,26389,29040,1.23861e+11,huber,29.7446,3.07395e+11,8
51,pbjacobi,7.82271e-07,0.000498377,123.231,2,12.5599,0.01,26389,29040,1.23971e+11,huber,30.1107,3.11176e+11,8
52,pbjacobi,7.8227e-07,0.000498377,165.385,2,12.6006,0.01,26389,29040,1.2408e+11,huber,30.477,3.14957e+11,8
53,pbjacobi,7.8227e-07,0.000498378,221.979,2,12.6413,0.01,26389,29040,1.2419e+11,huber,30.8426,3.18737e+11,8
54,pbjacobi,7.8227e-07,0.000498377,297.91,2,12.682,0.01,26389,29040,1.243e+11,huber,31.2087,3.22518e+11,8
55,pbjacobi,7.8227e-07,0.000498378,399.782,2,12.7227,0.01,26389,29040,1.2441e+11,huber,31.5741,3.26298e+11,8
56,pbjacobi,7.8227e-07,0.000498379,536.563,2,12.7635,0.01,26389,29040,1.2452e+11,huber,31.9404,3.30079e+11,8
57,pbjacobi,7.8227e-07,0.000498378,720.26,2,12.8041,0.01,26389,29040,1.2463e+11,huber,32.3061,3.3386e+11,8
58,pbjacobi,7.8227e-07,0.000498379,966.579,2,12.8448,0.01,26389,29040,1.2474e+11,huber,32.6728,3.3764e+11,8
59,pbjacobi,7.8227e-07,0.000498379,1297.2,2,12.8856,0.01,26389,29040,1.2485e+11,huber,33.0386,3.41421e+11,8
60,pbjacobi,7.8227e-07,0.000498379,1742.07,2,12.9263,0.01,26389,29040,1.2496e+11,huber,33.4044,3.45202e+11,8
61,pbjacobi,7.8227e-07,0.000498378,2335.97,2,12.9671,0.01,26389,29040,1.2507e+11,huber,33.7702,3.48982e+11,8
62,pbjacobi,7.8227e-07,0.000498378,3133.44,2,13.0078,0.01,26389,29040,1.2518e+11,huber,34.136,3.52763e+11,8
63,pbjacobi,7.8227e-07,0.000498378,4212.84,2,13.0486,0.01,26389,29040,1.2529e+11,huber,34.5022,3.56543e+11,8
64,pbjacobi,7.8227e-07,0.000498379,5650.7,2,13.0892,0.01,26389,29040,1.254e+11,huber,34.8678,3.60324e+11,8
65,pbjacobi,7.8227e-07,0.000498379,7562.49,2,13.1299,0.01,26389,29040,1.25509e+11,huber,35.2338,3.64105e+11,8
