problem,solver,cost,gradient_norm_l2,damping,iters,cumulative_inner_solve_time,eta,cameras,points,cumulative_inner_solve_flops,loss,cumulative_solve_time,cumulative_solve_flops,nodes
0,gamg,0.0146989,0.22306,0.0001,0,0,0.01,17935,35743,0,huber,0,0,16
1,gamg,0.000418121,0.00274659,9.98962e-05,14,0.496484,0.01,17935,35743,3.76006e+09,huber,0.609947,4.3751e+09,16
2,gamg,0.000129002,0.000212903,3.32987e-05,17,0.912558,0.01,17935,35743,8.0307e+09,huber,1.05322,9.26076e+09,16
3,gamg,3.47483e-05,0.000246421,1.10996e-05,26,1.33625,0.01,17935,35743,1.3833e+10,huber,1.50326,1.56781e+10,16
4,gamg,1.11149e-05,0.000272917,3.69986e-06,36,1.79979,0.01,17935,35743,2.13373e+10,huber,1.99313,2.37974e+10,16
5,gamg,2.91435e-06,0.000144259,1.23329e-06,57,2.3846,0.01,17935,35743,3.24155e+10,huber,2.60323,3.54907e+10,16
6,gamg,4.91812e-07,5.05882e-05,4.11095e-07,91,3.14619,0.01,17935,35743,4.92802e+10,huber,3.39027,5.29704e+10,16
7,gamg,9.68412e-08,2.60652e-05,2.85886e-07,155,4.1346,0.01,17935,35743,7.70371e+10,huber,4.40558,8.13423e+10,16
8,gamg,4.73226e-08,1.51261e-05,1.99413e-07,202,5.31604,0.01,17935,35743,1.12793e+11,huber,5.61237,1.17713e+11,16
9,gamg,3.38663e-08,1.04186e-05,6.64711e-08,256,6.7376,0.01,17935,35743,1.57739e+11,huber,7.05937,1.63274e+11,16
10,gamg,2.45246e-08,2.36695e-05,2.2157e-08,435,8.99728,0.01,17935,35743,2.33149e+11,huber,9.34434,2.39299e+11,16
