problem,solver,cost,gradient_norm_l2,damping,iters,cumulative_inner_solve_time,eta,cameras,points,cumulative_inner_solve_flops,loss,cumulative_solve_time,cumulative_solve_flops,nodes
0,pbjacobi,0.0146989,0.22306,0.0001,0,0,0.01,17935,35743,0,huber,0,0,16
1,pbjacobi,0.000427406,0.00283593,9.98773e-05,107,0.0888381,0.01,17935,35743,3.11429e+09,huber,0.201989,3.72932e+09,16
2,pbjacobi,0.000132427,0.000194269,3.32924e-05,135,0.194725,0.01,17935,35743,7.04264e+09,huber,0.334864,8.2727e+09,16
3,pbjacobi,3.5785e-05,0.000244029,1.10975e-05,203,0.382651,0.01,17935,35743,1.2948e+10,huber,0.549033,1.47931e+10,16
4,pbjacobi,1.14199e-05,0.000287656,3.69916e-06,289,0.595065,0.01,17935,35743,2.13537e+10,huber,0.787083,2.38139e+10,16
5,pbjacobi,7.07624e-06,4.08901e-05,1.23305e-06,15,0.611035,0.01,17935,35743,2.17932e+10,huber,0.830357,2.48684e+10,16
6,pbjacobi,3.82548e-06,4.03663e-05,4.11018e-07,17,0.627028,0.01,17935,35743,2.22909e+10,huber,0.872293,2.59811e+10,16
7,pbjacobi,2.58632e-07,0.000156491,1.37006e-07,1086,1.42889,0.01,17935,35743,5.38684e+10,huber,1.69977,5.81736e+10,16
8,pbjacobi,1.0302e-07,7.455e-06,2.14073e-07,17,1.44793,0.01,17935,35743,5.43661e+10,huber,1.74447,5.92863e+10,16
9,pbjacobi,4.63097e-08,1.97831e-05,7.13576e-08,1514,2.55057,0.01,17935,35743,9.83872e+10,huber,2.87258,1.03922e+11,16
10,pbjacobi,3.16724e-08,2.45284e-05,2.37859e-08,2839,4.62397,0.01,17935,35743,1.80931e+11,huber,4.97319,1.87081e+11,16
