problem,Q,iter
2,-1.1367960870877951,1
2,-1.1428901794376765,2
2,-1.135639610782978,3
3,-0.0010338193959939744,1
3,-0.0035417632247142206,2
3,-0.004881339936280745,3
3,-0.006535714687569191,4
3,-0.007288625059597861,5
3,-0.007928000643352409,6
3,-0.008367787101660609,7
3,-0.0089022710383167,8
3,-0.009387058228702293,9
3,-0.009702017326899057,10
3,-0.010029960416413873,11
3,-0.010306413358654525,12
3,-0.010454471828531908,13
3,-0.010664623198362377,14
3,-0.010797405132868039,15
3,-0.010872022942498605,16
3,-0.011000321910361894,17
3,-0.011075316744493005,18
3,-0.011135266091573226,19
3,-0.01127269570292201,20
3,-0.01135568707424298,21
3,-0.011409144479715326,22
3,-0.011500115627429133,23
3,-0.011517761182561481,24
4,-0.0006644026716362321,1
4,-0.0011519557775747013,2
4,-0.0013136598899426348,3
4,-0.0014219794201669484,4
4,-0.0015111669086159607,5
4,-0.0016669728860885125,6
4,-0.0017632676840535874,7
4,-0.001895146690827654,8
4,-0.0020327421863363918,9
4,-0.002150483830853169,10
4,-0.0022703286895393,11
4,-0.0023836757345072567,12
4,-0.0024809734472092905,13
4,-0.002569343922550356,14
4,-0.0026596641181087367,15
4,-0.002746591135213776,16
4,-0.0028079740980722877,17
4,-0.002869290302439332,18
4,-0.0029008581005479026,19
4,-0.0029337058934192964,20
4,-0.002948773753573001,21
4,-0.002955163052523714,22
5,-0.00012915548768199724,1
5,-0.0005061304717801526,2
5,-0.0005670997039169102,3
5,-0.0006238757257304757,4
5,-0.0006677698906611229,5
5,-0.0007305156933191508,6
5,-0.0007734280648705873,7
5,-0.0008270226496909724,8
5,-0.0008894069887165127,9
5,-0.0009441597503633204,10
5,-0.0010071466144343697,11
5,-0.0010644062682592889,12
5,-0.0011200296613234554,13
5,-0.0012051211954574447,14
5,-0.0012911564657816373,15
5,-0.001373618045251122,16
5,-0.0014608943208179429,17
5,-0.0015506408743777896,18
5,-0.001633742720431917,19
5,-0.0017212125889967218,20
5,-0.0017930500211180323,21
5,-0.0018624545587935452,22
5,-0.0019256474315185496,23
5,-0.0019762570025065123,24
5,-0.002019036277035555,25
5,-0.0020577352202390104,26
5,-0.0020865225061804226,27
5,-0.0021132035756772664,28
5,-0.0021358583990491397,29
5,-0.0021506809431129908,30
5,-0.0021697774596501525,31
5,-0.002180344199870413,32
5,-0.0021921267258545613,33
5,-0.002204335170668748,34
5,-0.002211624802483973,35
5,-0.0022257597632223147,36
5,-0.002235727219894023,37
5,-0.0022453799399259457,38
5,-0.002258969279448793,39
5,-0.0022687251639388764,40
5,-0.0022845961971420564,41
5,-0.0022973407994380775,42
5,-0.0023118745457445748,43
5,-0.0023262837406635784,44
5,-0.002336738334241765,45
5,-0.0023493681585815955,46
5,-0.002358631070885071,47
5,-0.0023694010179143702,48
5,-0.0023801576383025045,49
5,-0.002389834495180076,50
5,-0.0024018352646981546,51
5,-0.0024148111768170074,52
5,-0.0024271753131881266,53
5,-0.002440821531154951,54
5,-0.002451812036841344,55
5,-0.002462636936458533,56
